,AAPL
Today,2020-10-25 18:02:47
beta,1.337
volAvg,17209
lastDiv,0.782
dcf,127.3
ipoDate,1980
industry,Consumer Electronics
sector,Technology
marketCap,196747
price,115.04
priceAvg50,114.83
priceAvg200,97.460
EPS,3.296
bookValuePerShare,4.149
roe,0.155
roic,0.059
sharesOutstanding,171024
Latest report date,2020-06-27
grossProfitMargin,0.379
operatingProfitMargin,0.219
netProfitMargin,0.188
returnOnAssets,0.035
returnOnEquity,0.155
researchAndDdevelopementToRevenue,0.079
currentRatio,1.469
quickRatio,1.312
debtToAssets,0.772
debtToEquity,3.390
cashRatio,0.350
interestCoverage,18.84
grossProfitMargin,0.379
operatingProfitMargin,0.219
netProfitMargin,0.188
returnOnAssets,0.035
returnOnEquity,0.155
researchAndDdevelopementToRevenue,0.079
operatingCashFlowPerShare,0.934
freeCashFlowPerShare,0.844
enterpriseValue,16124
enterpriseValueOverEBITDA,97.21
grossProfitMargin_ttm,0.381
operatingProfitMargin_ttm,0.245
netProfitMargin_ttm,0.213
returnOnAssets_ttm,0.184
returnOnEquity_ttm,0.808
currentRatio_ttm,1.469
quickRatio_ttm,1.312
cashRatio_ttm,0.350
operatingCashFlowPerShare_ttm,1.142
freeCashFlowPerShare_ttm,0.983
